ID,Answer
0,白色羽毛
1,《諸羅縣志》
2,袁晁
3,柏林陸軍學院
4,決勝局
5,聶耳
6,1884年
7,西漢的版圖向西擴張
8,英國
9,醜化對手
10,周星馳
11,三中老
12,無障礙環境
13,anticipation
14,2004年
15,硫化氫
16,華萊士
17,因為外面的部份溫度會比內部核心的低
18,經濟
19,100公里
20,愛爾蘭語
21,荷蘭
22,硫磺
23,塞爾維亞反對黨
24,1910年代
25,外交活動
26,拉丁文
27,猶太基督徒
28,1964年
29,霍克菲爾德
30,有13所被迫外遷
31,《薩蒂里卡》
32,灣仔
33,西沙群島
34,形容一種無限制的、自私、而野蠻的競爭情況
35,1968年
36,新北市
37,小白宮
38,沒有
39,南人
40,宋端宗
41,四千名
42,46億年
43,1070年
44,國民養老保險法
45,水上報告廳
46,1929年
47,航天技術
48,1932年
49,大型購物中心MegaBox開幕
50,康熙帝
51,自強學堂
52,1960年代
53,亞歷山大一世被刺殺
54,紐約市
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市
59,佔領行動
60,路易十五
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,意圖完全擺脫漢朝的控制
66,蔣中正
67,東漢
68,前三點起落架
69,弘治十二年
70,亞洲
71,1996年
72,德意志聯邦共和國
73,氦
74,西班牙人入侵納瓦爾
75,建設部門
76,高麗大學校主樓
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,盧武鉉
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,四次重差觀測術
86,西漢元封二年
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,英國
93,大躍進運動
94,國立武昌高等師範學校
95,蘇利南
96,1934年
97,檸檬酸咖啡因療法
98,1913年
99,1949年
100,大象
101,1915年
102,1600年
103,有絲分裂
104,德國
105,高盧帝國
106,仁祖
107,十個
108,佛學論書
109,臺中高農
110,歐登堡
111,三天
112,1944年
113,安娜·德·薩伏伊皇后
114,咸豐帝
115,哈林河
116,孟加拉
117,男中音
118,中原
119,60
120,威廉·洛厄爾·普特南
121,中華人民共和國主席
122,德國人
123,陳寅恪
124,刺殺
125,喃字的複雜及未標準化
126,二千九百公尺
127,1939年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國
129,福建林家
130,運貨
131,公民權
132,西人黨
133,2013年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,兩波攻勢之下佔領島上38%
139,1941年
140,多腔磁控管雷達技術
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,吉米卡特
146,沈括
147,《布告各省公啟》
148,阿拉里克
149,德蘇戰爭
150,髒層
151,工業國家
152,1949年
153,《最終解決德國問題條約》
154,清光緒十七年
155,雕像」
156,防止中國共產黨滲透
157,65000平方公里
158,乙醚
159,唐太宗
160,卡爾梅克人
161,1969年11月12日
162,63位
163,副大法官
164,古希臘時代
165,盧安達語
166,填海造地
167,蔣中正
168,農民
169,網景通訊公司
170,9月1日
171,1999年
172,《天淨沙》
173,七十年代
174,公元68年
175,趙佗
176,莎草紙
177,岑智明
178,普魯士大獲全勝，建立德意志帝國
179,公元前362年
180,創建強力政府
181,28歲
182,1950年
183,保加利亞
184,它的效率比較低
185,10度
186,日本社會黨
187,西歐
188,波士頓
189,1992年
190,下旋球
191,屯田兵制度
192,明朝
193,文藝復興
194,2000年
195,2012年
196,道縣玉蟾岩
197,德兩國海軍在赫爾戈蘭灣
198,森林
199,阿森納女子足球俱樂部
200,社會主義市場經濟
201,較有消費能力的居民
202,1920年
203,美元
204,多倫多
205,在列車前面拉動
206,彌爾
207,中央情報局
208,梅莉·史翠普
209,在時域上數學形式為連續函式的訊號
210,本土特色
211,亞歷山大一世
212,威尼斯影展
213,清涼
214,新北市
215,聯盟合作
216,甲午戰爭
217,克孜勒
218,三分天災，七分人禍
219,好在歷史是人民寫的
220,美觀
221,臺中市精密機械科技創新園區
222,西部地區
223,1982年
224,1428年
225,皇帝
226,斯洛伐克境內
227,莫斯科中山大學
228,發明家
229,2006年
230,沒有
231,人體器官移植條例》
232,1262年
233,為增加米、糖等農作物產量
234,三倍
235,耗盡了核心的氫燃料
236,颱風
237,2016年
238,1973年
239,第六
240,「第一所美式大學
241,鋁土礦
242,萬神廟
243,布農族
244,黑死病
245,2007年
246,查普曼
247,在與比提尼亞國王的性行為中處於被動地位
248,2009年
249,洛杉磯湖人
250,溥儁
251,副主席
252,決勝局必定是單數局
253,廣東省政府委員會
254,遊戲
255,1951年
256,漢語拼音方案
257,1984年
258,高架車站
259,下薩克森邦
260,法蘭西第二帝國
261,東南亞的大城市
262,全勝
263,夜間攔截任務
264,哥白尼日心說
265,濃度低時
266,光緒
267,明朝
268,1848年
269,1954年
270,1997年
271,自由韓國黨
272,《南華早報》
273,可以麻痺嗅覺神經
274,佛像
275,阿聯
276,交通基建
277,步兵師
278,日本肥前國平戶島
279,以天狼星在東方地平線的出現
280,自律心肌細胞
281,1961年
282,德語地區
283,離島機場
284,1237年
285,東羅馬
286,晉恭帝
287,德國
288,美國律師協會
289,1654年
290,唐代
291,美川王
292,胡安·林茲
293,日本
294,1998年1月1日
295,第一星族
296,司馬休之
297,鈣離子
298,383年
299,羅納爾迪尼奧
300,秦軍
301,火山活動
302,利奧三世
303,拉丁字母
304,要提升飛機的飛行安全
305,丁基羥基甲苯
306,中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,《馬德里議定書》
314,446種
315,曹魏故都智慧之旅
316,亞德港
317,布爾什維克革命
318,金本位制
319,邊沁
320,紅色
321,1928年
322,商品期貨
323,十多個
324,300美元
325,楊宇霆
326,貴州省最大
327,元世祖
328,混合動力自行車
329,數學
330,亞熱帶季風氣候
331,經濟
332,目前沒有觀察到任何語言純綷以力道來區分不同輔音
333,朱一貴
334,凱爾特部落
335,失一分
336,銃炮
337,1961年
338,1980年代
339,凱·艾維
340,荇人國
341,1980年
342,希伯來文
343,第四心音
344,2010年
345,武漢
346,1868年
347,托土拉島
348,中華民國
349,倫敦大學
350,1930年代
351,岡仁波齊峰
352,1973年
353,突厥語民族
354,長崎造船廠
355,「南斯拉夫社會主義聯邦共和國」
356,民主制度的恢復
357,硫
358,丹尼索瓦人混血
359,忽必烈
360,中國
361,2000年
362,蝸牛狀
363,奧地利
364,1954年
365,韓國
366,維京戈達島
367,1956年
368,史都華中校
369,1910年
370,突厥
371,前後兩次屠殺蒙古商隊並侮辱蒙古使臣
372,1988年
373,2011年
374,非暴力方式反對環境破壞行為
375,巴爾的摩市
376,中華民國政府
377,社團部
378,認為伊迪絲分散了托爾金對學業的注意力
379,電子郵件
380,孔子
381,楊浦區大連路的地鐵站2號口
382,2005年
383,中國對處決犯人一直採取保密的措施
384,烏爾班八世
385,60年代
386,雙循環泵
387,1809年
388,國內市場狹小
389,民國32年
390,為迅速取得西線勝利
