ID,Answer
0,白色羽毛
1,《臺灣府志
2,袁晁
3,國柏林陸軍學院
4,記分方式
5,聶耳
6,1884年
7,西漢的版圖向西擴張
8,英國
9,起到醜化對手的作用
10,周星馳
11,三中老
12,無障礙環境
13,anticipation
14,2004年
15,硫化氫
16,華萊士
17,外面的部份溫度會比內部核心的低
18,經濟
19,100公里
20,愛爾蘭語
21,荷蘭
22,硫磺
23,塞爾維亞反對黨
24,1833年
25,憑藉著外交活動
26,拉丁文
27,外邦人
28,1964年
29,霍克菲爾德
30,文化大革命
31,《金驢記》
32,灣仔
33,潮州
34,一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,小白宮
38,從記者的觀察來看
39,南人
40,宋端宗
41,四千名
42,46億年
43,1070年
44,《國民養老保險法
45,第一教學樓
46,1937年
47,航天技術
48,1932年
49,大型購物中心[UNK]開幕後
50,嘉靖帝
51,商務印書館
52,1960年代
53,亞歷山大一世被刺殺
54,杜林
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市
59,佔領行動
60,路易十五
61,中國國民黨
62,三疊紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,夫餘對漢軍的援助
66,李宗仁
67,東漢
68,前三點起落架
69,弘治十二年
70,亞洲
71,1996年
72,資本主義陣營
73,氦
74,西班牙人入侵納瓦爾
75,建設部門
76,基督教衛理公會教堂
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,盧武鉉
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,四次重差觀測術
86,二年
87,隋文帝開皇九年四月，隋滅南陳後
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,英國
93,大躍進運動
94,國立武昌高等師範學校
95,蘇利南
96,1934年
97,檸檬酸咖啡因療法
98,1913年
99,
100,大象
101,1915年
102,1600年
103,有絲分裂
104,德國
105,高盧帝國
106,仁祖
107,十個
108,佛學
109,臺中高農
110,
111,三天
112,1944年
113,安娜·德·薩伏伊皇后
114,咸豐帝
115,哈林河
116,孟加拉
117,女童大提琴
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,
122,德國
123,五德終始說
124,被刺殺
125,未標準化
126,二千九百公尺
127,1939年
128,令德軍於西線的進攻上遇到更多困難
129,福建林家
130,用來運貨
131,公民權
132,西人黨
133,2013年
134,臺北
135,東南亞南島民族
136,杭縣
137,蘇聯國旗
138,38%
139,1941年
140,多腔磁控管雷達技術
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,吉米卡特
146,蘇頌
147,《布告各省公啟》
148,阿拉里克
149,德蘇戰爭
150,髒層
151,工業國家
152,1949年
153,《最終解決德國問題條約》
154,清光緒十七年
155,雕像
156,防止中國共產黨滲透
157,65000平方公里
158,乙醚
159,唐玄宗為天可汗，在安史之亂後唐代宗也被回[UNK]人藥葛羅
160,卡爾梅克人
161,1969年11月12日凌晨6時45分
162,63位
163,教會法學博士
164,古希臘時代
165,盧安達語
166,政府填海造地
167,蔣中正
168,農民
169,網景通訊公司
170,2日
171,1999年
172,《天淨沙》
173,七十年代
174,公元68年
175,趙佗
176,莎草紙
177,岑智明
178,與法國爭奪歐洲大陸霸權
179,公元前362年
180,強力政府
181,28歲
182,
183,保加利亞
