ID,Answer
0,士兵
1,《諸羅縣志
2,袁晁
3,柏林陸軍學院
4,長盤勝負
5,孫銘武
6,1874年
7,西漢的版圖向西擴張
8,郵政機關
9,永遠忠於你。但是之後這門語言又日漸式微
10,周星馳
11,秀吉
12,高架車站正好相反[UNK]站體位於地面，月台區則採高架設計以配合高架路線
13,anticipation
14,2007年
15,氫
16,共和黨
17,
18,經濟
19,100公里
20,愛爾蘭語
21,荷蘭
22,硫磺
23,塞爾維亞反對黨
24,1861年
25,皇帝體系
26,拉丁文
27,猶太基督徒
28,1974年
29,提姆·柏內茲李
30,文化大革命
31,名人傳
32,灣仔區
33,俗雲萬里石塘
34,一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,小白宮
38,沒有
39,南人
40,宋端宗
41,四千名
42,46億年
43,1070年
44,社會保障法規
45,天使路
46,1930年
47,航天
48,1932年
49,大型購物中心[UNK]開幕
50,明朝嘉靖帝
51,武漢水利電力大學
52,1962年
53,亞歷山大一世被刺殺
54,哈拉[UNK]居民
55,基督教
56,
57,100萬
58,新北市
59,愛心聖誕大行動
60,勃艮第公爵
61,中國國民黨
62,中生代
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,沒能取得勝利
66,李宗仁
67,東漢
68,噴射發動機
69,弘治十二年
70,中美聯合考古隊在湖南道縣玉蟾岩
71,1984年
72,資本主義陣營
73,氦
74,城堡
75,交通運輸部
76,奧林匹克體育場
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,四次重差觀測術
86,西漢元封二年
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,反應式裝甲
93,大躍進運動
94,武漢水利電力大學
95,荷蘭語
96,1934年
97,檸檬酸咖啡因療法
98,1919年
99,1949年
100,大象
101,1915年
102,1600年
103,不對稱細胞分裂，也稱為異裂。根據類型常可區分為有絲分裂
104,美國
105,芝諾比亞
106,仁祖
107,十個
108,佛學論書
109,北海道帝國大學
110,下薩克森邦
111,伊薩克
112,1944年
113,曼努埃爾二世
114,
115,哈林河
116,孟加拉。恆河源頭帕吉勒提河和阿勒格嫩達河發源自印度北阿坎德邦
117,指揮家
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,主席
122,尚吉巴人民共和國
123,陳寅恪
124,被刺殺
125,喃字的複雜及未標準化
126,四百公尺
127,1939年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國
129,福建林家
130,它是用來運貨
131,民主黨
132,西人黨
133,2013年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,兩波
139,1939年
140,高速攝影
141,點石齋畫報
142,南越地區
143,1987年
144,上吊方式。有40%的女性通過上吊自殺
145,喬治麥高文
146,李善蘭
147,《布告
148,阿拉里克
149,德蘇戰爭
150,髒層
151,工業國家
152,1957年
153,就業保障制度
154,清光緒十七年
155,雕像
156,經濟變革
157,六
158,乙醚
159,藥葛羅
160,卡爾梅克人
161,1969年初
162,63位
163,副大法官
164,古希臘時代
165,斯瓦希里語
166,大幅填海來興建啟德機場後，該海灣面積大幅縮小
167,孫中山
168,農業
169,網景通訊公司
170,9月1日
171,1999年
172,《天淨沙》
173,二次大戰
174,北魏正光元年
175,趙佗
176,官
177,岑智明
178,與法國爭奪歐洲大陸霸權
179,公元前362年
180,創建強力政府
181,28歲
182,2000年10月
183,保加利亞
184,避免了很多可能發生的火災
185,10度
186,日本社會黨
187,西歐
188,波士頓
189,1992年
190,下旋球
191,屯田兵制度
192,明朝
193,文藝復興
194,2000年
195,2012年
196,南中國珠江中游的聚落地帶，另有考古發現在約西元前8200年前的中國湖南。在1993年，考古隊在道縣玉蟾岩
197,1914年
198,森林
199,阿森納女子足球俱樂部
200,一黨制
201,
202,1920年
203,美元
204,多倫多
205,列車前面拉動
206,彌爾
207,反貪污特警隊
208,艾瑪·史東
209,在時域上數學形式為連續函式
210,生命力與流動性
211,亞歷山大一世
212,
213,真空帶
214,新北市
215,聯盟合作
216,海上疆界劃定
217,克孜勒
218,三分天災
219,劉源
220,美觀
221,
222,西部地區
223,1982年
224,1428年
225,部落最高領袖
226,斯洛伐克布拉迪斯拉發
227,廣東大學
228,美國發明家
229,2006年
230,仍然沒有
231,《人體器官移植條例
232,1262年
233,以鄭芝龍舊部郭懷一為領袖的漢族移民
234,兩倍
235,耗盡了核心的氫燃料，質量大於0.4太陽質量
236,颱風
237,2014年
238,1973年
239,2萬美元，外匯儲備達2915.7億美元，外匯儲量世界第六
240,最能令人信服和終身受益的學習經歷
241,鋁土礦
242,萬神廟
243,阿美族
244,黑死病
245,2007年
246,哈德斯菲爾德的總教練赫爾伯特·查普曼
247,據傳在與比提尼亞國王的性行為中處於被動地位
248,2001年
249,夏曼
250,溥[UNK]
251,中共中央革命軍事委員會副主席
252,雙方在一盤中戰至6比6
253,廣東省政府委員會
254,遊戲
255,1951年
256,漢語拼音方案
257,1984年
258,地面車站
259,下薩克森邦
260,法蘭西第二帝國
261,商業
262,全勝
263,提高一般飛行員的命中率
264,哥白尼日心說
265,濃度低
266,袁世凱
267,明朝
268,1848年
269,1954年
270,1998年
271,共同民主黨
272,《南華早報》
273,酸性氣體，濃度低時帶惡臭
274,佛像
275,阿聯
276,交通基建
277,前線步兵師
278,荷蘭人
279,以天狼星在東方地平線的出現
280,自律心肌細胞
281,1985年
282,德語地區
283,機場
284,1237年
285,帝國
286,劉裕
287,德國
288,美國律師協會
289,1654年
290,清末
291,美川王
292,梁啟超
293,日本
294,1998年1月1日
295,恆星自行速率
296,孟懷玉
297,鈣離子
298,383年
299,羅納爾迪尼奧
300,秦軍
301,火山活動
302,君士坦丁·波菲洛格尼圖斯
303,拉丁字母
304,要提升飛機的飛行安全，降低因為鋼纜或者是滑輪等裝置失效導致失去控制的問題
305,丁基羥基甲苯
306,中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,《馬德里議定書
314,446種，粳稻和[UNK]稻共1083
315,曹魏故都智慧之旅
316,亞德港
317,布爾什維克革命
318,民主黨保守派
319,邊沁的效益主義思想，指出倫理學領域的終極問題解決完全可訴諸效益主義原則，綜合前人理論彌爾
320,鉀離子通道
321,1928年
322,期貨合約
323,十多個
324,300美元
325,張決心戒掉鴉片，聽了楊宇霆
326,大力發展體育事業
327,元世祖
328,
329,數學
330,亞熱帶季風氣候
331,經濟
332,目前沒有觀察到任何語言純[UNK]以力道來區分不同輔音
333,朱一貴
334,凱爾特部落群
335,失分
336,銃炮
337,1959年
338,1980年代
339,凱·艾維
340,東漢
341,1980年
342,希伯來文
343,第四心音
344,2010年
345,武漢
346,1868年
347,托土拉島
348,德國
349,2005年，倫大學院獲賦予獨立頒授學位的權力。包括證書在內的官方文件均印有倫大學院
350,1888年
351,岡仁波齊
352,1972年
353,突厥
354,三菱重工業長崎造船廠
355,南斯拉夫人
356,民主制度的恢復
357,硫
358,丹尼索瓦人混血
359,忽必烈
360,中國
361,2000年
362,蝸牛狀
363,波蘭
364,1954年
365,韓國
366,維京戈達島
367,1964年
368,史都華中校
369,1910年
370,鮮卑部落
371,
372,1958年
373,1928年
374,激進組織
375,巴爾的摩市
376,中華民國政府
377,社團部
378,分散了托爾金對學業的注意力
379,電子郵件
380,孔子
381,大連路
382,2005年
383,中國對處決犯人一直採取保密的措施
384,哥白尼
385,60年代
386,雙循環泵
387,1809年
388,市場狹小而無法發展
389,32年
390,害怕德軍在東線戰線上沒有足夠兵力應付俄國。故此，他決定於西線調派多一些兵力到東線上應付俄軍，此決定令德軍於西線的進攻上遇到更多困難。為迅速取得西線勝利
391,幅員遼闊
392,盟旗制
393,受到材料與設計的影響
394,國家起源說
395,路易·巴斯德
396,中部科學園區
397,宣統三年九月十九日
398,1991年
399,三國史記
400,第二次工業革命
401,突厥語
402,哈雷阿卡拉國家公園
403,坎貝爾
404,8小時
405,樂壇女王
406,民國16年
407,國立廣東大學
408,亞伯拉罕諸教
409,六億七千多萬美金
410,妖怪
411,專家
412,中文
413,礦物
414,非常混亂
415,阿爾泰語系
416,
417,信陽
418,7000名
419,准將
420,質量
421,科技
422,媽祖
423,鮑德溫伯爵
424,批鬥會
425,20餘米
426,蘇丹
427,大都督府
428,好的稻苗是稻作成功的關鍵。在秧苗長高約八公分
429,
430,太陽
431,那拉氏
432,辛酉政變
433,銅的礦物
434,統一企業
435,2013年1月1日
436,生物學研究
437,陳誠
438,孫中山
439,與德國單獨媾和
440,德國工業
441,九一八事變
442,1978年
443,天皇
444,680.48
445,遺址
446,嘉義市
447,保護農業生產也起了較大作
448,肺呼氣機制
449,五角星
450,潘諾尼亞
451,貿易
452,埃姆斯蘭高速公路
453,匿蹤性能較佳
454,
455,1919年
456,直播人類影像
457,北京路
458,盟旗制
459,臺南州
460,腓力二世
461,南緯30度。其主要分布於大陸內陸區
462,一次大戰期間
463,溫布頓網球錦標賽
464,中華人民共和國
465,保守派
466,網景公司
467,《全唐詩》
468,1911年
469,1982年
470,七年
471,荷蘭共和國和奧地利
472,貝爾實驗室
473,梁朝偉
474,吳三連
475,1918年
476,
477,金正恩生日1月8日
478,掃雷艇部隊
479,
480,多黨制
481,民國15年
482,1988年
483,奧義書標誌著吠陀時期
484,東晉時期
485,線傳飛控
486,光明星4號
487,烏孜別克人
488,2555公里
489,
490,高句麗聯合[UNK][UNK]
491,茲維亞德·加姆薩胡爾季阿
492,避免造成路口交通不暢
493,
494,荀子
495,清朝
496,1935年
497,雙北合作交流平台
498,將傳統的靜穩定推向靜不穩定設計
499,中國政法大學
500,瓜拿納
501,二戰時期
502,鈉鹽
503,江戶時代
504,民國4年12月25日
505,西格里
506,1972年
507,中國之統一
508,呂訥堡石楠草原南部的貝爾根
509,太白，號青蓮居士
510,朱棣
511,網速每秒流量
512,低稅賦
513,小選舉區制
514,科索沃
515,抗議活動
516,自由放任
517,綠色工業
518,四年
519,段祺瑞
520,喬治
521,新店
522,1925年
523,蝸頂
524,1960年代
525,8.27
526,戰鬥機
527,2002年
528,硫化氫
529,軍事冒險主義
530,定用戶組在編輯衝突時提供優先機會
531,整理遺產
532,同一個生物體中可能同時有雄性及雌性的生殖器官
533,經濟建設
534,《中華民國臨時約法》
535,粥店
536,愛國教育
537,帕吉勒提河
538,西南美麗的地方
539,「天」的至高無上
540,開羅
541,1932年
542,許榮茂
543,1955年
