Id,Category
0000,4
0001,0
0002,0
0003,3
0004,9
0005,9
0006,9
0007,8
0008,9
0009,5
0010,0
0011,5
0012,5
0013,2
0014,9
0015,10
0016,8
0017,2
0018,3
0019,9
0020,3
0021,3
0022,0
0023,0
0024,2
0025,2
0026,3
0027,0
0028,2
0029,0
0030,9
0031,10
0032,5
0033,4
0034,10
0035,5
0036,2
0037,9
0038,0
0039,4
0040,3
0041,9
0042,8
0043,9
0044,10
0045,8
0046,4
0047,3
0048,9
0049,10
0050,3
0051,4
0052,4
0053,5
0054,10
0055,2
0056,9
0057,5
0058,10
0059,4
0060,8
0061,9
0062,9
0063,9
0064,10
0065,2
0066,9
0067,1
0068,10
0069,2
0070,5
0071,2
0072,4
0073,9
0074,4
0075,3
0076,2
0077,2
0078,2
0079,0
0080,9
0081,2
0082,9
0083,2
0084,2
0085,4
0086,10
0087,8
0088,9
0089,0
0090,0
0091,2
0092,10
0093,9
0094,8
0095,9
0096,8
0097,2
0098,0
0099,4
0100,4
0101,9
0102,8
0103,9
0104,8
0105,3
0106,4
0107,0
0108,0
0109,9
0110,9
0111,0
0112,2
0113,9
0114,8
0115,2
0116,2
0117,2
0118,9
0119,3
0120,9
0121,4
0122,0
0123,2
0124,6
0125,9
0126,2
0127,9
0128,5
0129,9
0130,8
0131,8
0132,3
0133,9
0134,9
0135,9
0136,8
0137,0
0138,0
0139,0
0140,10
0141,10
0142,3
0143,5
0144,9
0145,2
0146,9
0147,3
0148,2
0149,0
0150,4
0151,3
0152,3
0153,9
0154,0
0155,9
0156,3
0157,0
0158,3
0159,0
0160,4
0161,10
0162,2
0163,0
0164,8
0165,10
0166,9
0167,9
0168,10
0169,4
0170,0
0171,2
0172,8
0173,9
0174,5
0175,9
0176,10
0177,9
0178,0
0179,3
0180,5
0181,3
0182,0
0183,3
0184,0
0185,1
0186,9
0187,8
0188,10
0189,0
0190,9
0191,0
0192,9
0193,0
0194,2
0195,9
0196,3
0197,5
0198,9
0199,3
0200,8
0201,2
0202,3
0203,2
0204,2
0205,9
0206,9
0207,9
0208,0
0209,8
0210,10
0211,6
0212,9
0213,2
0214,3
0215,2
0216,9
0217,2
0218,0
0219,8
0220,0
0221,2
0222,3
0223,2
0224,5
0225,6
0226,3
0227,3
0228,9
0229,8
0230,4
0231,9
0232,2
0233,2
0234,0
0235,10
0236,9
0237,9
0238,10
0239,9
0240,8
0241,8
0242,0
0243,0
0244,4
0245,9
0246,0
0247,3
0248,2
0249,4
0250,9
0251,8
0252,8
0253,2
0254,0
0255,5
0256,9
0257,8
0258,10
0259,0
0260,0
0261,0
0262,2
0263,5
0264,9
0265,9
0266,3
0267,9
0268,2
0269,2
0270,0
0271,0
0272,3
0273,3
0274,10
0275,0
0276,4
0277,2
0278,0
0279,4
0280,10
0281,10
0282,0
0283,0
0284,10
0285,2
0286,2
0287,3
0288,3
0289,4
0290,4
0291,0
0292,0
0293,8
0294,0
0295,8
0296,0
0297,5
0298,9
0299,9
0300,9
0301,9
0302,10
0303,8
0304,9
0305,9
0306,5
0307,0
0308,0
0309,9
0310,0
0311,2
0312,2
0313,4
0314,4
0315,8
0316,10
0317,3
0318,9
0319,2
0320,4
0321,4
0322,9
0323,9
0324,2
0325,9
0326,9
0327,9
0328,3
0329,8
0330,0
0331,0
0332,0
0333,8
0334,9
0335,8
0336,0
0337,9
0338,1
0339,9
0340,3
0341,9
0342,8
0343,0
0344,0
0345,0
0346,0
0347,3
0348,2
0349,0
0350,0
0351,0
0352,2
0353,9
0354,3
0355,5
0356,2
0357,0
0358,5
0359,3
0360,0
0361,0
0362,0
0363,9
0364,9
0365,9
0366,8
0367,3
0368,9
0369,9
0370,4
0371,5
0372,4
0373,9
0374,8
0375,9
0376,4
0377,4
0378,0
0379,2
0380,8
0381,2
0382,10
0383,0
0384,0
0385,0
0386,2
0387,2
0388,9
0389,10
0390,0
0391,9
0392,3
0393,0
0394,3
0395,8
0396,4
0397,3
0398,5
0399,2
0400,3
0401,10
0402,9
0403,7
0404,2
0405,3
0406,5
0407,9
0408,9
0409,0
0410,4
0411,0
0412,2
0413,0
0414,9
0415,2
0416,3
0417,9
0418,9
0419,3
0420,1
0421,0
0422,9
0423,2
0424,9
0425,9
0426,6
0427,4
0428,10
0429,4
0430,0
0431,0
0432,9
0433,8
0434,0
0435,5
0436,2
0437,0
0438,0
0439,2
0440,0
0441,4
0442,0
0443,4
0444,8
0445,9
0446,2
0447,9
0448,9
0449,10
0450,4
0451,3
0452,2
0453,2
0454,7
0455,4
0456,0
0457,2
0458,5
0459,2
0460,0
0461,9
0462,10
0463,0
0464,2
0465,10
0466,3
0467,4
0468,10
0469,9
0470,7
0471,0
0472,0
0473,9
0474,0
0475,10
0476,9
0477,3
0478,0
0479,4
0480,9
0481,3
0482,0
0483,4
0484,6
0485,0
0486,0
0487,9
0488,2
0489,0
0490,9
0491,3
0492,4
0493,0
0494,2
0495,3
0496,8
0497,8
0498,2
0499,10
0500,2
0501,9
0502,3
0503,0
0504,9
0505,9
0506,4
0507,9
0508,2
0509,10
0510,10
0511,8
0512,2
0513,9
0514,4
0515,5
0516,9
0517,6
0518,0
0519,9
0520,0
0521,8
0522,8
0523,5
0524,5
0525,9
0526,10
0527,2
0528,2
0529,2
0530,9
0531,4
0532,9
0533,9
0534,2
0535,9
0536,0
0537,5
0538,3
0539,2
0540,2
0541,9
0542,2
0543,5
0544,2
0545,0
0546,10
0547,9
0548,3
0549,0
0550,3
0551,0
0552,2
0553,8
0554,9
0555,9
0556,4
0557,9
0558,5
0559,8
0560,2
0561,9
0562,10
0563,0
0564,0
0565,8
0566,0
0567,4
0568,4
0569,0
0570,9
0571,3
0572,2
0573,8
0574,4
0575,0
0576,5
0577,2
0578,2
0579,2
0580,9
0581,8
0582,9
0583,9
0584,3
0585,0
0586,2
0587,9
0588,8
0589,3
0590,9
0591,9
0592,0
0593,2
0594,2
0595,0
0596,8
0597,0
0598,0
0599,8
0600,8
0601,4
0602,9
0603,5
0604,0
0605,5
0606,0
0607,9
0608,9
0609,0
0610,9
0611,4
0612,10
0613,9
0614,9
0615,5
0616,10
0617,9
0618,6
0619,9
0620,2
0621,9
0622,5
0623,9
0624,9
0625,0
0626,9
0627,5
0628,0
0629,5
0630,0
0631,9
0632,4
0633,9
0634,9
0635,3
0636,10
0637,9
0638,2
0639,10
0640,4
0641,0
0642,9
0643,7
0644,2
0645,9
0646,2
0647,2
0648,4
0649,8
0650,8
0651,2
0652,3
0653,2
0654,9
0655,4
0656,7
0657,0
0658,0
0659,10
0660,9
0661,0
0662,9
0663,0
0664,8
0665,0
0666,3
0667,9
0668,0
0669,9
0670,3
0671,0
0672,10
0673,2
0674,8
0675,3
0676,3
0677,0
0678,0
0679,8
0680,9
0681,2
0682,9
0683,0
0684,0
0685,0
0686,8
0687,0
0688,2
0689,0
0690,3
0691,9
0692,2
0693,0
0694,5
0695,6
0696,9
0697,5
0698,0
0699,8
0700,9
0701,0
0702,9
0703,0
0704,6
0705,10
0706,9
0707,3
0708,10
0709,0
0710,2
0711,8
0712,2
0713,9
0714,10
0715,0
0716,1
0717,5
0718,2
0719,0
0720,2
0721,10
0722,5
0723,5
0724,4
0725,0
0726,2
0727,0
0728,2
0729,9
0730,10
0731,8
0732,9
0733,9
0734,2
0735,3
0736,2
0737,2
0738,1
0739,10
0740,0
0741,9
0742,9
0743,0
0744,3
0745,0
0746,8
0747,0
0748,2
0749,9
0750,8
0751,5
0752,2
0753,3
0754,4
0755,10
0756,8
0757,9
0758,10
0759,8
0760,3
0761,4
0762,9
0763,8
0764,9
0765,0
0766,9
0767,0
0768,0
0769,10
0770,9
0771,2
0772,0
0773,0
0774,2
0775,0
0776,5
0777,0
0778,9
0779,5
0780,2
0781,2
0782,9
0783,9
0784,5
0785,2
0786,3
0787,5
0788,9
0789,2
0790,9
0791,4
0792,9
0793,8
0794,2
0795,8
0796,2
0797,0
0798,0
0799,6
0800,9
0801,8
0802,2
0803,6
0804,9
0805,2
0806,9
0807,8
0808,3
0809,9
0810,9
0811,4
0812,9
0813,2
0814,8
0815,0
0816,2
0817,0
0818,9
0819,3
0820,8
0821,8
0822,3
0823,0
0824,3
0825,3
0826,10
