id,class
0,4
1,3
2,1
3,3
4,0
5,3
6,0
7,2
8,1
9,4
10,0
11,2
12,1
13,3
14,2
15,3
16,2
17,2
18,0
19,3
20,4
21,2
22,2
23,1
24,0
25,4
26,2
27,3
28,3
29,0
30,4
31,4
32,3
33,2
34,1
35,1
36,0
37,0
38,1
39,3
40,4
41,1
42,2
43,3
44,0
45,2
46,1
47,4
48,0
49,2
50,4
51,1
52,0
53,2
54,3
55,4
56,3
57,2
58,1
59,1
60,0
61,1
62,2
63,2
64,3
65,1
66,4
67,3
68,0
69,2
70,4
71,3
72,1
73,3
74,2
75,0
76,3
77,2
78,1
79,0
80,3
81,2
82,0
83,3
84,4
85,2
86,3
87,4
88,4
89,1
90,4
91,2
92,0
93,3
94,1
95,2
96,3
97,1
98,3
99,4
100,0
101,4
102,3
103,1
104,2
105,1
106,0
107,3
108,0
109,2
110,0
111,1
112,2
113,4
114,3
115,1
116,4
117,0
118,2
119,2
120,2
121,0
122,1
123,3
124,4
125,0
126,3
127,2
128,1
129,1
130,1
131,4
132,4
133,0
134,3
135,1
136,1
137,1
138,2
139,2
140,1
141,3
142,4
143,2
144,0
145,0
146,4
147,2
148,3
149,3
150,2
151,4
152,2
153,0
154,0
155,3
156,4
157,1
158,0
159,4
160,1
161,2
162,0
163,2
164,4
165,4
166,2
167,0
168,1
169,3
170,0
171,3
172,1
173,4
174,2
175,1
176,2
177,0
178,4
179,2
180,4
181,1
182,0
183,2
184,3
185,1
186,2
187,4
188,0
189,3
190,0
191,0
192,4
193,0
194,1
195,2
196,4
197,3
198,0
199,1
200,0
201,1
202,3
203,2
204,4
205,0
206,1
207,4
208,3
209,2
210,3
211,4
212,0
213,4
214,2
215,1
216,3
217,2
218,4
219,4
220,2
221,1
222,4
223,3
224,4
225,4
226,3
227,2
228,1
229,0
230,0
231,3
232,2
233,4
234,1
235,1
236,3
237,1
238,2
239,0
240,2
241,1
242,4
243,0
244,3
245,0
246,3
247,4
248,1
249,0
250,4
251,2
252,1
253,0
254,3
255,2
256,4
257,3
258,0
259,3
260,0
261,4
262,3
263,1
264,2
265,3
266,2
267,0
268,1
269,1
270,3
271,1
272,4
273,0
274,2
275,0
276,1
277,4
278,4
279,3
280,1
281,2
282,3
283,0
284,4
285,0
286,4
287,1
288,2
289,3
290,3
291,1
292,2
293,0
294,4
295,2
296,0
297,4
298,3
299,1
300,0
301,2
302,3
303,4
304,1
305,3
306,1
307,0
308,4
309,2
310,1
311,3
312,4
313,4
314,2
315,0
316,3
317,4
318,1
319,2
320,2
321,4
322,3
323,0
324,1
325,1
326,2
327,0
328,1
329,3
330,1
331,1
332,2
333,3
334,4
335,1
336,2
337,0
338,3
339,4
340,3
341,2
342,2
343,4
344,0
345,3
346,4
347,2
348,1
349,0
350,2
351,0
352,1
353,4
354,3
355,4
356,2
357,0
358,1
359,3
360,2
361,2
362,1
363,0
364,3
365,0
366,2
367,3
368,3
369,4
370,2
371,0
372,4
373,1
374,3
375,4
376,1
377,3
378,0
379,4
380,0
381,1
382,2
383,4
384,2
385,3
386,2
387,2
388,4
389,1
390,1
391,4
392,3
393,0
394,1
395,3
396,2
397,1
398,1
399,1
400,1
401,4
402,3
403,2
404,0
405,2
406,0
407,4
408,0
409,3
410,1
411,0
412,0
413,3
414,2
415,0
416,0
417,4
418,2
419,3
420,0
421,1
422,4
423,2
424,3
425,2
426,3
427,3
428,0
429,1
430,0
431,0
432,4
433,2
434,3
435,4
436,3
437,0
438,1
439,2
440,4
441,2
442,1
443,0
444,3
445,3
446,3
447,2
448,4
449,0
450,2
451,3
452,1
453,0
454,4
455,2
456,1
457,2
458,2
459,4
460,4
461,3
462,2
463,0
464,0
465,1
466,2
467,0
468,4
469,3
470,1
471,0
472,1
473,4
474,3
475,1
476,3
477,2
478,0
479,4
480,4
481,1
482,0
483,0
484,2
485,1
486,3
487,1
488,2
489,0
490,1
491,4
492,4
493,2
494,0
495,1
496,3
497,0
498,1
499,4
500,0
501,3
502,1
503,2
504,4
505,1
506,0
507,4
508,2
509,3
510,2
511,4
512,3
513,0
514,1
515,3
516,4
517,2
518,3
519,4
520,1
521,0
522,4
523,2
524,3
525,2
526,1
527,0
528,3
529,3
530,2
531,3
532,0
533,1
534,4
535,0
536,2
537,1
538,3
539,4
540,0
541,2
542,3
543,4
544,1
545,1
546,4
547,0
548,2
549,0
550,1
551,0
552,0
553,3
554,1
555,1
556,2
557,4
558,0
559,3
560,3
561,2
562,4
563,0
564,4
565,1
566,4
567,3
568,2
569,0
570,1
571,1
572,3
573,2
574,4
575,1
576,4
577,0
578,2
579,4
580,4
581,0
582,3
583,0
584,2
585,3
586,4
587,2
588,3
589,1
590,0
591,2
592,4
593,3
594,1
595,3
596,1
597,2
598,4
599,2
600,1
601,2
602,0
603,4
604,2
605,4
606,1
607,2
608,3
609,0
610,1
611,1
612,3
613,4
614,4
615,0
616,2
617,4
618,3
619,1
620,3
621,3
622,0
623,1
624,4
625,1
626,2
627,3
628,1
629,4
630,2
631,1
632,0
633,3
634,4
635,3
636,2
637,1
638,0
639,2
640,4
641,4
642,0
643,1
644,2
645,0
646,2
647,4
648,1
649,3
650,2
651,4
652,0
653,2
654,3
655,4
656,3
657,1
658,2
659,0
660,4
661,2
662,0
663,1
664,3
665,2
666,0
667,1
668,3
669,2
670,0
671,1
672,3
673,2
674,0
675,2
676,0
677,4
678,1
679,4
680,2
681,0
682,4
683,2
684,3
685,4
686,4
687,1
688,3
689,2
690,3
691,1
692,4
693,0
694,2
695,3
696,1
697,0
698,2
699,4
700,4
701,1
702,3
703,2
704,0
705,4
706,2
707,1
708,1
709,3
710,1
711,0
712,4
713,3
714,3
715,2
716,0
717,0
718,4
719,4
720,0
721,2
722,1
723,3
724,2
725,3
726,4
727,0
728,1
729,2
730,4
731,1
732,4
733,0
734,4
735,0
736,4
737,3
738,2
739,1
740,3
741,4
742,1
743,2
744,2
745,2
746,1
747,4
748,2
749,3
750,0
751,4
752,2
753,2
754,1
755,0
756,2
757,3
758,4
759,1
760,4
761,4
762,3
763,0
764,1
765,4
766,2
767,1
768,3
769,0
770,0
771,1
772,4
773,2
774,3
775,1
776,3
777,2
778,0
779,4
780,0
781,2
782,4
783,1
784,3
785,3
786,4
787,0
788,1
789,0
790,1
791,0
792,4
793,2
794,2
795,1
796,4
797,0
798,2
799,4
800,0
801,1
802,4
803,3
804,2
805,1
806,4
807,3
808,0
809,4
810,0
811,2
812,1
813,4
814,3
815,1
816,2
817,4
818,0
819,3
820,4
821,1
822,3
823,0
824,2
825,0
826,4
827,4
828,2
829,2
830,1
831,0
832,3
833,4
834,0
835,3
836,0
837,2
838,4
839,1
840,4
841,3
842,0
843,4
844,1
845,2
846,0
847,4
848,1
849,3
850,3
851,0
852,1
853,4
854,2
855,3
856,1
857,0
858,0
859,4
860,3
861,1
862,1
863,3
864,0
865,3
866,2
867,0
868,1
869,4
870,0
871,4
872,1
873,3
874,3
875,4
876,3
877,2
878,0
879,1
880,1
881,0
882,3
883,4
884,2
885,2
886,1
887,0
888,4
889,1
890,4
891,2
892,1
893,0
894,3
895,3
896,2
897,0
898,2
899,1
900,2
901,3
902,2
903,1
904,0
905,4
906,3
907,2
908,1
909,0
910,1
911,0
912,3
913,4
914,2
915,4
916,1
917,2
918,0
919,3
920,3
921,1
922,0
923,4
924,4
925,4
926,1
927,3
928,0
929,2
930,3
931,2
932,1
933,0
934,4
935,3
936,4
937,1
938,0
939,2
940,3
941,3
942,1
943,4
944,2
945,0
946,3
947,0
948,2
949,4
950,2
951,1
952,3
953,0
954,4
955,1
956,0
957,4
958,0
959,3
960,2
961,3
962,0
963,3
964,4
965,2
966,1
967,0
968,3
969,1
970,4
971,1
972,4
973,3
974,3
975,4
976,3
977,0
978,2
979,1
980,2
981,4
982,3
983,1
984,0
985,3
986,2
987,1
988,0
989,3
990,1
991,0
992,2
993,4
994,1
995,1
996,3
997,0
998,2
999,1
1000,2
1001,0
1002,4
1003,3
1004,1
1005,0
1006,0
1007,3
1008,1
1009,2
1010,3
1011,2
1012,3
1013,1
1014,4
1015,1
1016,4
1017,3
1018,0
1019,2
1020,2
1021,0
1022,1
1023,3
1024,1
1025,0
1026,2
1027,4
1028,1
1029,0
1030,2
1031,1
1032,3
1033,0
1034,4
1035,3
1036,4
1037,2
1038,1
1039,0
1040,3
1041,2
1042,0
1043,4
1044,4
1045,4
1046,1
1047,3
1048,2
1049,4
1050,1
1051,3
1052,3
1053,2
1054,4
1055,0
1056,1
1057,2
1058,3
1059,3
1060,4
1061,2
1062,4
1063,3
1064,0
1065,1
1066,2
1067,2
1068,3
1069,0
1070,4
1071,1
1072,3
1073,2
1074,0
1075,0
1076,4
1077,2
1078,3
1079,1
1080,3
1081,4
1082,2
1083,0
1084,1
1085,0
1086,4
1087,3
1088,1
1089,3
1090,4
1091,2
1092,3
1093,1
1094,0
1095,4
1096,4
1097,3
1098,0
1099,2
1100,2
1101,2
1102,4
1103,4
1104,2
1105,4
1106,0
1107,3
1108,2
1109,1
1110,3
1111,2
1112,1
1113,1
1114,0
1115,3
1116,0
1117,4
1118,1
1119,2
1120,0
1121,0
1122,2
1123,4
1124,0
1125,3
1126,2
1127,0
1128,1
1129,4
1130,1
1131,4
1132,0
1133,1
1134,2
1135,1
1136,3
1137,4
1138,2
1139,0
1140,0
1141,1
1142,4
1143,3
1144,4
1145,1
1146,1
1147,0
1148,2
1149,4
1150,2
1151,3
1152,1
1153,4
1154,2
1155,2
1156,3
1157,0
1158,0
1159,4
1160,3
1161,1
1162,2
1163,4
1164,0
1165,0
1166,4
1167,3
1168,2
1169,1
1170,3
1171,1
1172,0
1173,3
1174,2
1175,2
1176,4
1177,0
1178,3
1179,1
1180,4
1181,1
1182,2
1183,3
1184,0
1185,3
1186,0
1187,1
1188,2
1189,4
1190,0
1191,4
1192,3
1193,1
1194,2
1195,2
1196,3
1197,0
1198,1
1199,3
1200,4
1201,0
1202,0
1203,3
1204,3
1205,3
1206,4
1207,1
1208,0
1209,2
1210,2
1211,0
1212,1
1213,3
1214,1
1215,1
1216,4
1217,0
1218,2
1219,3
1220,3
1221,0
1222,1
1223,0
1224,4
1225,0
1226,3
1227,2
1228,4
1229,1
1230,1
1231,2
1232,3
1233,1
1234,1
1235,0
1236,2
1237,1
1238,3
1239,4
1240,1
1241,2
1242,3
1243,0
1244,4
1245,3
1246,4
1247,0
1248,1
1249,2
1250,3
1251,4
1252,2
1253,2
1254,0
1255,1
1256,2
1257,4
1258,0
1259,3
1260,3
1261,0
1262,2
1263,0
1264,3
1265,4
1266,3
1267,0
1268,1
1269,2
1270,0
1271,0
1272,4
1273,3
1274,1
1275,0
1276,0
1277,4
1278,4
1279,3
1280,4
1281,0
1282,3
1283,2
1284,1
1285,0
1286,2
1287,2
1288,4
1289,1
1290,3
1291,1
1292,2
1293,0
1294,2
1295,2
1296,4
1297,0
1298,1
1299,3
1300,1
1301,2
1302,0
1303,4
1304,3
1305,3
1306,2
1307,1
1308,4
1309,0
1310,4
1311,0
1312,1
1313,3
1314,2
1315,1
1316,0
1317,2
1318,3
1319,4
1320,1
1321,1
1322,4
1323,1
1324,2
1325,2
1326,4
1327,0
1328,3
1329,4
1330,3
1331,0
1332,1
1333,1
1334,2
1335,0
1336,0
1337,4
1338,1
1339,1
1340,4
1341,0
1342,1
1343,3
1344,2
1345,4
1346,4
1347,2
1348,1
1349,3
1350,3
1351,1
1352,4
1353,2
1354,0
1355,3
1356,1
1357,4
1358,2
1359,0
1360,3
1361,0
1362,2
1363,2
1364,1
1365,3
1366,0
1367,1
1368,0
1369,2
1370,4
1371,1
1372,2
1373,3
1374,0
1375,1
1376,2
1377,0
1378,3
1379,4
1380,3
1381,4
1382,1
1383,4
1384,2
1385,3
1386,0
1387,1
1388,4
1389,2
1390,0
1391,1
1392,4
1393,3
1394,1
1395,3
1396,1
1397,2
1398,0
1399,4
1400,0
1401,1
1402,0
1403,2
1404,3
1405,2
1406,0
1407,4
1408,3
1409,1
1410,0
1411,4
1412,0
1413,1
1414,2
1415,3
1416,4
1417,2
1418,0
1419,4
1420,3
1421,2
1422,0
1423,1
1424,3
1425,2
1426,1
1427,0
1428,0
1429,2
1430,0
1431,1
1432,4
1433,3
1434,2
1435,3
1436,1
1437,2
1438,2
1439,4
1440,3
1441,1
1442,2
1443,4
1444,0
1445,1
1446,1
1447,1
1448,4
1449,2
1450,3
1451,4
1452,0
1453,2
1454,1
1455,1
1456,0
1457,3
1458,2
1459,2
1460,3
1461,1
1462,4
1463,0
1464,2
1465,4
1466,3
1467,1
1468,1
1469,4
1470,1
1471,2
1472,3
1473,0
1474,4
1475,4
1476,0
1477,2
1478,4
1479,2
1480,3
1481,1
1482,2
1483,0
1484,4
1485,1
1486,1
1487,3
1488,2
1489,0
1490,1
1491,0
1492,1
1493,3
1494,4
1495,4
1496,2
1497,0
1498,2
1499,3
1500,2
1501,0
1502,2
1503,3
1504,4
1505,1
1506,2
1507,0
1508,3
1509,4
1510,4
1511,1
1512,2
1513,0
1514,3
1515,1
1516,0
1517,2
1518,3
1519,4
1520,3
1521,0
1522,2
1523,1
1524,2
1525,4
1526,3
1527,0
1528,1
1529,1
1530,2
1531,0
1532,3
1533,1
1534,4
1535,2
1536,3
1537,4
1538,1
1539,0
1540,4
1541,3
1542,0
1543,3
1544,0
1545,1
1546,1
1547,2
1548,1
1549,4
1550,0
1551,1
1552,2
1553,0
1554,3
1555,1
1556,1
1557,2
1558,0
1559,4
1560,0
1561,1
1562,2
1563,3
1564,4
1565,4
1566,0
1567,2
1568,1
1569,3
1570,2
1571,3
1572,2
1573,0
1574,1
1575,4
1576,1
1577,0
1578,0
1579,3
1580,1
1581,4
1582,2
1583,0
1584,3
1585,4
1586,1
1587,3
1588,0
1589,2
1590,4
1591,4
1592,1
1593,3
1594,0
1595,2
1596,3
1597,4
1598,0
1599,1
1600,2
1601,0
1602,2
1603,4
1604,0
1605,1
1606,4
1607,0
1608,1
1609,4
1610,1
1611,4
1612,3
1613,0
1614,2
1615,4
1616,0
1617,0
1618,1
1619,3
1620,2
1621,4
1622,0
1623,0
1624,3
1625,3
1626,1
1627,4
1628,0
1629,2
1630,3
1631,3
1632,2
1633,1
1634,0
1635,2
1636,4
1637,3
1638,0
1639,2
1640,2
1641,1
1642,4
1643,3
1644,0
1645,3
1646,2
1647,4
1648,0
1649,2
1650,3
1651,1
1652,2
1653,0
1654,4
1655,4
1656,0
1657,1
1658,3
1659,2
1660,1
1661,0
1662,1
1663,3
1664,0
1665,4
1666,2
1667,3
1668,1
1669,0
1670,3
1671,0
1672,4
1673,1
1674,3
1675,3
1676,2
1677,0
1678,4
1679,1
1680,2
1681,3
1682,4
1683,0
1684,1
1685,4
1686,0
1687,3
1688,2
1689,2
1690,0
1691,2
1692,3
1693,4
1694,1
1695,1
1696,2
1697,4
1698,3
1699,0
1700,0
1701,4
1702,3
1703,0
1704,1
1705,2
1706,2
1707,1
1708,3
1709,4
1710,0
1711,2
1712,3
1713,1
1714,4
1715,2
1716,1
1717,0
1718,3
1719,4
1720,1
1721,0
1722,3
1723,2
1724,3
1725,2
1726,1
1727,3
1728,4
1729,0
1730,4
1731,3
1732,2
1733,0
1734,1
1735,1
1736,3
1737,2
1738,3
1739,0
1740,2
1741,3
1742,4
1743,1
1744,0
1745,0
1746,2
1747,1
1748,1
1749,4
1750,2
1751,3
1752,2
1753,1
1754,3
1755,1
1756,1
1757,4
1758,3
1759,0
1760,3
1761,2
1762,0
1763,1
1764,4
1765,3
1766,3
1767,4
1768,0
1769,1
1770,3
1771,0
1772,2
1773,4
1774,0
1775,2
1776,3
1777,2
1778,4
1779,1
1780,1
1781,4
1782,1
1783,0
1784,2
1785,3
1786,1
1787,0
1788,2
1789,4
1790,3
1791,0
1792,4
1793,2
1794,0
1795,3
1796,1
1797,0
1798,4
1799,2
1800,4
1801,1
1802,0
1803,2
1804,2
1805,3
1806,0
1807,1
1808,2
1809,0
1810,4
1811,2
1812,3
1813,1
1814,2
1815,3
1816,0
1817,1
1818,4
1819,2
1820,3
1821,2
1822,2
1823,1
1824,0
1825,1
1826,3
1827,0
1828,4
1829,1
1830,0
1831,2
1832,1
1833,1
1834,2
1835,1
1836,3
1837,4
1838,2
1839,1
1840,3
1841,0
1842,4
1843,1
1844,0
1845,0
1846,3
1847,1
1848,2
1849,0
1850,0
1851,1
1852,2
1853,4
1854,3
1855,2
1856,4
1857,4
1858,0
1859,3
1860,3
1861,2
1862,1
1863,4
1864,0
1865,0
1866,1
1867,3
1868,1
1869,2
1870,2
1871,3
1872,1
1873,0
1874,1
1875,0
1876,2
1877,0
1878,4
1879,3
1880,0
1881,0
1882,3
1883,1
1884,3
1885,0
1886,4
1887,4
1888,3
1889,1
1890,1
1891,0
1892,1
1893,0
1894,2
1895,0
1896,1
1897,2
1898,3
1899,4
1900,1
1901,0
1902,1
1903,3
1904,2
1905,3
1906,3
1907,2
1908,1
1909,1
1910,4
1911,0
1912,2
1913,1
1914,3
1915,4
1916,0
1917,1
1918,3
1919,2
1920,2
1921,4
1922,1
1923,0
1924,3
1925,1
1926,3
1927,0
1928,2
1929,4
1930,2
1931,4
1932,0
1933,1
1934,4
1935,2
1936,3
1937,4
1938,0
1939,0
1940,2
1941,0
1942,1
1943,3
1944,4
1945,2
1946,1
1947,4
1948,3
1949,0
1950,1
1951,0
1952,2
1953,3
1954,4
1955,3
1956,4
1957,3
1958,1
1959,0
1960,3
1961,0
1962,1
1963,4
1964,2
1965,2
1966,1
1967,3
1968,0
1969,4
1970,2
1971,1
1972,4
1973,3
1974,0
1975,2
1976,0
1977,1
1978,2
1979,3
1980,0
1981,4
1982,2
1983,4
1984,3
1985,2
1986,3
1987,1
1988,0
1989,2
1990,2
1991,4
1992,0
1993,3
1994,1
1995,3
1996,2
1997,1
1998,4
1999,0
2000,4
2001,3
2002,1
2003,4
2004,0
2005,0
2006,4
2007,1
2008,2
2009,3
2010,3
2011,0
2012,1
2013,2
2014,4
2015,1
2016,3
2017,3
2018,0
2019,2
2020,3
2021,3
2022,0
2023,1
2024,4
2025,2
2026,4
2027,0
2028,1
2029,3
2030,0
2031,1
2032,2
2033,3
2034,3
2035,0
2036,3
2037,4
2038,1
2039,0
2040,3
2041,0
2042,2
2043,1
2044,2
2045,4
2046,0
2047,1
2048,3
2049,2
2050,2
2051,4
2052,1
2053,0
2054,3
2055,2
2056,0
2057,2
2058,4
2059,1
2060,0
2061,1
2062,3
2063,0
2064,2
2065,4
2066,1
2067,2
2068,0
2069,3
2070,0
2071,2
2072,3
2073,4
2074,1
2075,3
2076,1
2077,2
2078,1
2079,2
2080,4
2081,1
2082,2
2083,0
2084,3
2085,2
2086,4
2087,0
2088,3
2089,3
2090,4
2091,4
2092,0
2093,3
2094,1
2095,4
2096,2
2097,3
2098,1
2099,0
2100,2
2101,0
2102,0
2103,1
2104,3
2105,3
2106,2
2107,1
2108,4
2109,0
2110,1
2111,2
2112,0
2113,3
2114,4
2115,0
2116,4
2117,2
2118,1
2119,4
2120,3
2121,2
2122,3
2123,0
2124,1
2125,2
2126,4
2127,0
2128,3
2129,1
2130,0
2131,2
2132,3
2133,2
2134,3
2135,1
2136,3
2137,0
2138,1
2139,4
2140,0
2141,2
2142,0
2143,4
2144,3
2145,2
2146,0
2147,3
2148,1
2149,4
2150,1
2151,0
2152,0
2153,3
2154,4
2155,3
2156,1
2157,4
2158,0
2159,0
2160,0
2161,1
2162,4
2163,3
2164,4
2165,3
2166,3
2167,4
2168,2
2169,3
2170,2
2171,1
2172,0
2173,4
2174,3
2175,4
2176,1
2177,2
2178,0
2179,3
2180,2
2181,3
2182,2
2183,2
2184,0
2185,1
2186,4
2187,0
2188,2
2189,4
2190,0
2191,1
2192,3
2193,0
2194,2
2195,1
2196,3
2197,2
2198,3
2199,0
2200,4
2201,4
2202,2
2203,3
2204,2
2205,2
2206,0
2207,1
2208,3
2209,4
2210,2
2211,1
2212,4
2213,0
2214,3
2215,1
2216,2
2217,0
2218,4
2219,0
2220,0
2221,0
2222,2
2223,3
2224,3
2225,4
2226,2
2227,1
2228,0
2229,3
2230,3
2231,1
2232,4
2233,3
2234,2
2235,0
2236,2
2237,3
2238,1
2239,4
2240,0
2241,4
2242,4
2243,1
2244,3
2245,3
2246,1
2247,0
2248,1
2249,4
2250,1
2251,0
2252,4
2253,2
2254,3
2255,1
2256,4
2257,2
2258,0
2259,3
2260,2
2261,0
2262,4
2263,3
2264,1
2265,4
2266,1
2267,1
2268,3
2269,2
2270,2
2271,4
2272,4
2273,1
2274,0
2275,3
2276,0
2277,4
2278,1
2279,2
2280,1
2281,3
2282,4
2283,0
2284,3
2285,2
2286,0
2287,0
2288,3
2289,1
2290,4
2291,2
2292,3
2293,2
2294,1
2295,1
2296,3
2297,4
2298,1
2299,2
2300,1
2301,2
2302,3
2303,0
2304,4
2305,2
2306,4
2307,3
2308,0
2309,1
2310,4
2311,2
2312,0
2313,1
2314,3
2315,0
2316,4
2317,1
2318,2
2319,0
2320,3
2321,1
2322,4
2323,2
2324,3
2325,2
