id,class
0,4
1,4
2,3
3,2
4,4
5,4
6,2
7,2
8,4
9,4
10,3
11,3
12,1
13,1
14,2
15,4
16,3
17,1
18,4
19,3
20,4
21,3
22,3
23,1
24,0
25,4
26,2
27,3
28,3
29,0
30,4
31,3
32,3
33,0
34,4
35,2
36,1
37,4
38,0
39,0
40,4
41,0
42,2
43,0
44,0
45,0
46,4
47,4
48,3
49,2
50,4
51,1
52,0
53,2
54,0
55,0
56,0
57,2
58,3
59,1
60,0
61,1
62,4
63,3
64,2
65,1
66,4
67,0
68,0
69,3
70,4
71,3
72,1
73,3
74,2
75,0
76,3
77,4
78,4
79,4
80,1
81,0
82,0
83,3
84,4
85,2
86,1
87,3
88,4
89,1
90,4
91,2
92,0
93,3
94,1
95,2
96,0
97,4
98,2
99,1
100,4
101,4
102,3
103,1
104,1
105,2
106,4
107,3
108,4
109,2
110,0
111,0
112,2
113,4
114,3
115,1
116,3
117,3
118,3
119,2
120,3
121,0
122,3
123,3
124,0
125,1
126,3
127,2
128,3
129,1
130,1
131,0
132,0
133,0
134,3
135,3
136,1
137,1
138,4
139,1
140,1
141,2
142,4
143,2
144,0
145,0
146,0
147,2
148,2
149,1
150,2
151,1
152,2
153,0
154,0
155,0
156,4
157,4
158,0
159,1
160,2
161,1
162,0
163,2
164,4
165,2
166,3
167,2
168,1
169,3
170,4
171,3
172,1
173,4
174,2
175,0
176,2
177,0
178,4
179,1
180,4
181,1
182,0
183,3
184,3
185,1
186,2
187,4
188,0
189,3
190,1
191,1
192,2
193,1
194,1
195,2
196,2
197,3
198,0
199,1
200,0
201,1
202,3
203,2
204,4
205,2
206,1
207,2
208,1
209,2
210,1
211,4
212,0
213,3
214,2
215,1
216,0
217,2
218,3
219,4
220,2
221,1
222,4
223,2
224,3
225,4
226,3
227,2
228,2
229,0
230,0
231,3
232,2
233,4
234,1
235,1
236,3
237,0
238,4
239,0
240,2
241,1
242,4
243,0
244,3
245,4
246,3
247,4
248,1
249,0
250,4
251,0
252,1
253,0
254,3
255,2
256,4
257,3
258,0
259,4
260,0
261,4
262,3
263,4
264,0
265,3
266,2
267,0
268,1
269,1
270,3
271,1
272,0
273,0
274,2
275,0
276,1
277,4
278,4
279,3
280,3
281,2
282,3
283,4
284,1
285,0
286,4
287,4
288,2
289,3
290,3
291,2
292,0
293,3
294,4
295,2
296,0
297,4
298,4
299,1
300,0
301,2
302,3
303,0
304,0
305,3
306,0
307,1
308,4
309,2
310,4
311,1
312,4
313,4
314,0
315,0
316,3
317,4
318,1
319,2
320,1
321,4
322,3
323,0
324,1
325,3
326,2
327,3
328,0
329,3
330,2
331,1
332,1
333,3
334,4
335,1
336,4
337,0
338,4
339,4
340,3
341,2
342,4
343,2
344,0
345,4
346,4
347,2
348,1
349,3
350,2
351,0
352,0
353,4
354,0
355,4
356,4
357,0
358,4
359,3
360,4
361,2
362,1
363,3
364,4
365,1
366,2
367,3
368,1
369,4
370,2
371,2
372,4
373,1
374,2
375,3
376,1
377,3
378,0
379,4
380,1
381,3
382,2
383,4
384,3
385,3
386,3
387,3
388,4
389,1
390,1
391,4
392,3
393,0
394,1
395,3
396,2
397,2
398,0
399,0
400,1
401,4
402,1
403,3
404,0
405,2
406,1
407,4
408,3
409,1
410,1
411,3
412,3
413,3
414,2
415,0
416,0
417,3
418,3
419,3
420,0
421,1
422,4
423,2
424,3
425,2
426,3
427,3
428,0
429,1
430,3
431,1
432,4
433,1
434,3
435,4
436,3
437,3
438,1
439,2
440,4
441,2
442,0
443,0
444,3
445,0
446,3
447,0
448,4
449,4
450,2
451,3
452,1
453,0
454,3
455,0
456,4
457,3
458,0
459,4
460,4
461,3
462,2
463,1
464,0
465,0
466,2
467,0
468,4
469,3
470,1
471,0
472,2
473,3
474,3
475,1
476,3
477,2
478,0
479,4
480,4
481,1
482,0
483,3
484,2
485,4
486,3
487,4
488,2
489,4
490,1
491,4
492,4
493,2
494,0
495,1
496,4
497,0
498,2
499,4
500,4
501,3
502,1
503,2
504,4
505,1
506,0
507,4
508,2
509,1
510,2
511,4
512,3
513,0
514,1
515,4
516,4
517,2
518,3
519,2
520,1
521,0
522,1
523,2
524,4
525,4
526,1
527,0
528,3
529,2
530,2
531,3
532,0
533,1
534,4
535,2
536,2
537,4
538,3
539,4
540,0
541,2
542,1
543,4
544,1
545,4
546,4
547,0
548,0
549,0
550,1
551,0
552,0
553,3
554,1
555,3
556,2
557,2
558,0
559,3
560,0
561,2
562,1
563,0
564,1
565,1
566,4
567,3
568,0
569,4
570,1
571,0
572,2
573,2
574,0
575,0
576,4
577,0
578,2
579,4
580,4
581,4
582,3
583,0
584,0
585,3
586,4
587,0
588,0
589,1
590,2
591,2
592,4
593,3
594,1
595,3
596,2
597,2
598,4
599,2
600,1
601,3
602,0
603,4
604,2
605,4
606,1
607,4
608,3
609,0
610,1
611,0
612,3
613,4
614,4
615,0
616,2
617,3
618,3
619,1
620,2
621,3
622,1
623,2
624,4
625,1
626,2
627,3
628,1
629,4
630,2
631,2
632,0
633,3
634,4
635,3
636,2
637,4
638,0
639,1
640,2
641,4
642,0
643,1
644,0
645,0
646,2
647,4
648,4
649,3
650,2
651,4
652,0
653,2
654,1
655,2
656,3
657,1
658,2
659,0
660,4
661,2
662,0
663,3
664,2
665,2
666,3
667,1
668,4
669,2
670,0
671,1
672,3
673,2
674,0
675,2
676,1
677,4
678,1
679,3
680,2
681,4
682,1
683,1
684,3
685,0
686,2
687,0
688,3
689,2
690,3
691,1
692,4
693,1
694,3
695,3
696,1
697,0
698,2
699,4
700,4
701,1
702,3
703,2
704,0
705,1
706,2
707,2
708,1
709,3
710,1
711,0
712,4
713,3
714,1
715,2
716,3
717,3
718,4
719,4
720,0
721,3
722,0
723,3
724,2
725,3
726,4
727,1
728,3
729,2
730,3
731,1
732,1
733,2
734,4
735,0
736,4
737,3
738,2
739,1
740,3
741,4
742,1
743,2
744,0
745,2
746,1
747,4
748,2
749,3
750,2
751,4
752,2
753,3
754,4
755,0
756,2
757,3
758,0
759,1
760,4
761,4
762,2
763,1
764,1
765,4
766,2
767,1
768,3
769,1
770,3
771,1
772,0
773,0
774,3
775,1
776,0
777,2
778,0
779,4
780,0
781,2
782,4
783,1
784,3
785,3
786,0
787,0
788,1
789,0
790,1
791,0
792,4
793,2
794,4
795,2
796,4
797,2
798,2
799,4
800,0
801,0
802,2
803,3
804,2
805,4
806,0
807,3
808,0
809,4
810,0
811,2
812,2
813,4
814,3
815,4
816,4
817,4
818,4
819,3
820,4
821,1
822,3
823,2
824,2
825,3
826,3
827,3
828,2
829,3
830,1
831,2
832,3
833,0
834,0
835,3
836,2
837,2
838,1
839,1
840,4
841,3
842,0
843,0
844,1
845,4
846,3
847,3
848,1
849,3
850,3
851,0
852,2
853,4
854,2
855,3
856,3
857,0
858,2
859,4
860,3
861,1
862,0
863,1
864,3
865,4
866,2
867,1
868,1
869,4
870,2
871,4
872,1
873,3
874,2
875,4
876,3
877,0
878,3
879,1
880,1
881,0
882,2
883,4
884,4
885,1
886,1
887,0
888,4
889,4
890,0
891,2
892,1
893,0
894,3
895,3
896,4
897,0
898,4
899,0
900,3
901,3
902,2
903,3
904,3
905,4
906,3
907,2
908,4
909,0
910,1
911,0
912,3
913,4
914,0
915,2
916,4
917,2
918,0
919,3
920,3
921,0
922,0
923,4
924,4
925,4
926,1
927,0
928,3
929,2
930,3
931,4
932,1
933,0
934,4
935,0
936,4
937,1
938,0
939,2
940,3
941,3
942,1
943,4
944,2
945,2
946,3
947,0
948,1
949,4
950,2
951,0
952,2
953,3
954,0
955,1
956,0
957,4
958,0
959,2
960,2
961,3
962,1
963,3
964,4
965,2
966,1
967,2
968,3
969,2
970,4
971,4
972,2
973,3
974,3
975,4
976,3
977,0
978,2
979,3
980,2
981,4
982,3
983,0
984,0
985,4
986,2
987,3
988,0
989,4
990,1
991,0
992,2
993,4
994,1
995,1
996,1
997,0
998,4
999,4
1000,4
1001,0
1002,4
1003,3
1004,3
1005,3
1006,4
1007,3
1008,3
1009,2
1010,3
1011,3
1012,3
1013,1
1014,4
1015,4
1016,4
1017,0
1018,1
1019,4
1020,2
1021,1
1022,3
1023,3
1024,1
1025,4
1026,0
1027,4
1028,0
1029,0
1030,2
1031,2
1032,4
1033,0
1034,4
1035,3
1036,4
1037,2
1038,1
1039,0
1040,2
1041,2
1042,0
1043,2
1044,1
1045,0
1046,1
1047,3
1048,0
1049,3
1050,3
1051,3
1052,1
1053,2
1054,4
1055,3
1056,4
1057,4
1058,3
1059,3
1060,4
1061,3
1062,0
1063,3
1064,0
1065,1
1066,2
1067,3
1068,0
1069,0
1070,0
1071,1
1072,3
1073,0
1074,0
1075,0
1076,4
1077,2
1078,2
1079,4
1080,3
1081,0
1082,1
1083,0
1084,4
1085,0
1086,4
1087,1
1088,1
1089,3
1090,4
1091,2
1092,3
1093,1
1094,0
1095,4
1096,1
1097,3
1098,0
1099,3
1100,0
1101,0
1102,3
1103,4
1104,2
1105,4
1106,0
1107,3
1108,0
1109,1
1110,3
1111,3
1112,4
1113,1
1114,0
1115,3
1116,0
1117,1
1118,4
1119,2
1120,4
1121,0
1122,2
1123,2
1124,0
1125,3
1126,4
1127,0
1128,1
1129,4
1130,0
1131,3
1132,0
1133,3
1134,3
1135,1
1136,3
1137,4
1138,2
1139,4
1140,0
1141,1
1142,4
1143,0
1144,0
1145,3
1146,3
1147,0
1148,1
1149,4
1150,2
1151,2
1152,1
1153,4
1154,2
1155,2
1156,3
1157,1
1158,3
1159,4
1160,3
1161,1
1162,2
1163,4
1164,0
1165,4
1166,0
1167,3
1168,2
1169,1
1170,2
1171,4
1172,2
1173,2
1174,3
1175,2
1176,4
1177,1
1178,3
1179,1
1180,4
1181,3
1182,1
1183,1
1184,0
1185,3
1186,0
1187,2
1188,2
1189,4
1190,0
1191,1
1192,3
1193,2
1194,2
1195,2
1196,3
1197,0
1198,1
1199,3
1200,4
1201,0
1202,0
1203,1
1204,1
1205,3
1206,4
1207,3
1208,0
1209,2
1210,2
1211,0
1212,4
1213,3
1214,3
1215,1
1216,0
1217,0
1218,2
1219,1
1220,3
1221,0
1222,1
1223,2
1224,2
1225,0
1226,3
1227,2
