id,class
0,0
1,3
2,1
3,2
4,4
5,3
6,1
7,2
8,0
9,4
10,3
11,2
12,1
13,0
14,2
15,4
16,1
17,2
18,0
19,3
20,4
21,3
22,1
23,2
24,0
25,4
26,2
27,3
28,3
29,1
30,4
31,2
32,3
33,0
34,1
35,1
36,2
37,0
38,4
39,3
40,4
41,1
42,2
43,3
44,0
45,3
46,1
47,4
48,0
49,2
50,4
51,1
52,0
53,2
54,3
55,4
56,3
57,2
58,0
59,1
60,0
61,1
62,4
63,2
64,3
65,1
66,4
67,3
68,0
69,2
70,4
71,3
72,1
73,3
74,0
75,0
76,3
77,2
78,1
79,4
80,1
81,2
82,0
83,3
84,4
85,2
86,3
87,4
88,4
89,1
90,4
91,2
92,0
93,3
94,1
95,2
96,3
97,1
98,0
99,4
100,0
101,4
102,3
103,1
104,2
105,1
106,0
107,3
108,0
109,2
110,0
111,1
112,2
113,4
114,3
115,1
116,0
117,3
118,4
119,2
120,2
121,0
122,1
123,3
124,4
125,0
126,3
127,2
128,4
129,1
130,1
131,0
132,0
133,2
134,3
135,3
136,1
137,1
138,4
139,2
140,1
141,2
142,4
143,3
144,0
145,0
146,4
147,2
148,3
149,1
150,2
151,4
152,3
153,0
154,1
155,3
156,4
157,1
158,2
159,0
160,1
161,2
162,0
163,3
164,4
165,4
166,2
167,0
168,1
169,3
170,0
171,3
172,1
173,4
174,2
175,1
176,2
177,4
178,0
179,2
180,4
181,1
182,0
183,2
184,3
185,1
186,2
187,4
188,0
189,3
190,1
191,0
192,4
193,2
194,3
195,2
196,4
197,3
198,0
199,1
200,0
201,1
202,3
203,2
204,4
205,0
206,1
207,4
208,3
209,2
210,3
211,1
212,0
213,4
214,2
215,1
216,3
217,2
218,0
219,4
220,2
221,1
222,4
223,3
224,1
225,4
226,3
227,2
228,1
229,0
230,0
231,3
232,2
233,4
234,1
235,1
236,3
237,2
238,4
239,0
240,2
241,1
242,4
243,0
244,3
245,2
246,3
247,4
248,1
249,0
250,4
251,2
252,1
253,0
254,3
255,2
256,4
257,3
258,0
259,1
260,0
261,4
262,3
263,1
264,2
265,4
266,2
267,0
268,3
269,1
270,3
271,1
272,4
273,0
274,2
275,0
276,1
277,2
278,4
279,3
280,1
281,2
282,3
283,0
284,4
285,0
286,4
287,1
288,2
289,3
290,3
291,1
292,0
293,0
294,4
295,2
296,0
297,4
298,3
299,1
300,0
301,2
302,3
303,1
304,4
305,3
306,1
307,4
308,4
309,2
310,1
311,4
312,4
313,0
314,2
315,0
316,3
317,4
318,1
319,2
320,1
321,4
322,3
323,0
324,2
325,1
326,2
327,0
328,4
