id,AL,AK,AZ,AR,CA,CO,CT,FL,GA,ID,IL,IN,IA,KS,KY,LA,MD,MA,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,OR,RI,SC,TX,UT,VA,WA,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,worried_finances,tested_positive,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,worried_finances,tested_positive,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,worried_finances,tested_positive,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,worried_finances,tested_positive,cli,ili,hh_cmnty_cli,nohh_cmnty_cli,wearing_mask,travel_outside_state,work_outside_home,shop,restaurant,spent_time,large_event,public_transit,anxious,depressed,worried_finances,tested_positive
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6584658,0.7246057,12.9392837,8.5562295,76.5216933,7.8636211,33.0690665,64.1293782,33.4387143,40.5398784,17.4464992,3.9931905,10.1228372,7.8410225,37.9923648,7.3748464,0.6531572,0.7132492,12.4889332,8.21938,75.1795579,8.0834341,32.564654,65.2129033,34.2855715,40.6972105,17.7549408,3.9974431,10.1616207,8.0672755,37.8822782,7.2199885,0.6777835,0.7379647,12.487637,8.1355097,74.1896954,8.0010157,32.1453314,66.258549,34.931095,40.8892576,18.0380675,3.9704567,10.0430141,7.9833578,37.7050244,7.0779378,0.6667507,0.7235061,12.3677183,8.0061313,73.2119023,7.8733425,31.3302358,66.7539022,35.5866063,40.7416504,17.8007108,3.9847914,10.148898,8.2622884,37.3849632,7.452243,0.6856278,0.7409429,12.3643066,8.151578,71.8202309,7.944531,31.1132091,67.3945506,36.6742912,40.7431321,17.8422207,4.0937125,10.4400706,8.6271174,37.3295118,7.4561538
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6932873,0.6759619,15.0084667,11.0918179,82.3754687,11.0825873,36.373964,60.4718253,30.5169778,43.1621228,16.0387611,4.5197623,12.1332867,10.1557207,33.9775492,9.850027,0.7380288,0.7205108,15.0700489,10.990937,80.9432989,10.5967879,36.4358281,61.6531411,31.4492904,43.7513565,16.7525179,4.3856944,11.9117235,9.798448,32.7868022,10.0505469,0.8315858,0.8275232,14.5685036,10.5789237,79.0963913,10.4181708,35.8518041,62.8357196,32.8026369,43.7535248,17.1959221,4.6712009,11.4183141,10.6003107,32.6790304,10.3880843,0.7676425,0.7635799,14.2648616,10.2125288,76.6459843,10.6147306,34.6399605,63.6524365,34.1477136,44.6827273,17.7051403,4.9383566,11.0567246,10.889148,32.9331416,8.7078583,0.7132545,0.7193783,12.8943631,8.9192878,74.6871115,10.523814,33.920257,64.3983799,34.6122383,44.0356879,17.8081034,4.9249347,10.1726619,9.9543328,32.5088806,8.010957
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6170407,0.6170407,8.6147187,5.2380971,87.0409985,15.569851,33.3663618,58.8193681,24.6744159,36.6789369,13.4909457,6.6393007,9.7532904,7.6910154,38.6857708,3.8978505,0.6635972,0.6354587,8.4728312,5.1541839,86.7434671,15.9152417,33.0129104,60.1578216,25.3228215,36.4562403,13.3859447,6.700146,9.9499821,7.8335143,38.03648,3.0831107,0.5343944,0.4974347,8.4933526,5.1255525,86.6472891,15.9634962,32.4710932,60.9104107,25.1589668,35.9682069,13.6560704,6.7485569,10.6648756,7.9758209,37.8269241,3.1328337,0.5362243,0.498305,8.2276572,5.2989121,86.2857977,15.7886756,31.9316418,61.2332885,25.1560253,36.0326866,13.8633015,6.8796463,10.7311869,7.8478292,37.1287143,3.4441822,0.4791113,0.4324446,8.0679086,5.3335326,86.3124189,16.477784,31.6046043,62.101064,26.5218748,36.7464532,13.9036667,7.3138326,10.3887123,7.9561389,36.7455876,2.9069774
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1937677,1.2720508,12.0076556,7.2197415,43.1536864,20.9725887,35.4586488,69.8337742,37.0211231,48.0221872,28.4369026,4.0836149,9.4178654,9.3857718,37.6211888,10.2977118,1.3565767,1.4327751,12.9971835,7.8437765,42.7006461,21.2987279,36.2396124,68.7681867,38.4676553,47.910974,28.6700734,3.6564959,10.1031524,8.7035872,37.1761978,9.2806358,1.7197057,1.6908058,14.0105094,9.0089778,42.4566574,21.7336351,35.6380841,67.9901211,38.2204817,48.2319728,28.7234172,3.8082662,10.7051316,8.7355665,37.4442609,12.146962,1.7375495,1.709244,14.3647345,9.0965827,42.5437458,20.2060493,36.2922705,67.3194431,37.4239459,47.7388054,27.8696558,3.409895,9.872694,8.4134353,37.326366,13.4042557,1.793346,1.766201,14.3837892,9.4160959,43.7315907,19.1409388,35.1157382,67.9355204,38.0224919,48.4348086,27.134876,3.1019036,10.4986831,8.2315222,38.6801619,12.5758159
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.455489,1.455489,20.9577294,16.8291631,28.5560517,20.6191958,34.8247747,68.4685398,38.0464324,49.7859672,23.4418133,3.8294272,10.9889476,8.8380779,29.9496905,24.0566265,1.2985107,1.2316062,20.189998,16.229791,28.6506659,20.4346427,35.6160365,69.093886,38.0796692,48.8775834,23.150895,3.8765914,11.3129699,9.7499426,30.6637447,17.7272888,1.4868509,1.4206112,20.1603514,15.6724866,29.3146137,21.1697268,35.8219267,69.371958,38.4198647,48.8824352,23.9885874,4.22054,11.8723586,10.4437281,29.8985872,18.6508085,1.3739382,1.3083456,20.1033847,15.7980026,29.9859065,22.2649545,35.2655866,69.4165439,38.580881,48.8123266,23.3778374,4.0704021,11.3495368,9.9100333,29.3750934,20.2381113,1.2644652,1.1985671,20.2573551,15.8642013,30.6133064,22.6982176,35.1297143,69.934592,38.2423678,49.095933,22.6837093,4.5946197,9.8789268,9.4692895,28.344123,21.4285894
5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8033001,0.8415349,15.8740808,9.5338641,65.644252,16.207849,37.0236991,66.0154897,31.8137398,45.9479903,21.9251091,2.4361902,11.5541055,9.95507,38.3482416,12.254025,0.7384095,0.7766832,15.6292374,9.4062272,64.6680597,15.7965694,37.2278177,66.8844491,33.0187993,46.8552606,22.4239039,2.346521,11.731763,10.4583433,38.1702633,11.1642681,0.7820767,0.7762221,15.5030762,9.3777802,63.3952438,15.7344814,37.9218627,67.7677176,33.6788127,46.9865371,22.7821729,1.9046686,12.1089739,10.8502314,38.5029133,11.2605308,0.8991823,0.8934015,14.1018688,8.6294086,62.5803258,15.7657325,37.2910843,67.7260543,34.1376413,47.5156155,22.5276411,2.0785166,12.0788148,10.8607712,37.8255143,9.8284634,1.0428381,1.0371968,13.6030244,8.4817832,62.8222106,15.2613561,36.3026039,68.1629435,34.7675449,46.488364,22.2558737,2.0234109,11.6427217,10.5517564,37.4542496,9.764946
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593731,0.5807316,14.5790407,8.9102088,79.3167092,17.6465034,38.4020037,62.5021329,29.4507861,45.4869239,18.8446308,2.6939677,12.9689219,11.0037794,38.2962173,7.6687824,0.6572691,0.6389319,14.5336206,8.68129,78.3078822,17.196903,38.0501421,62.7741819,28.9134616,45.0948571,18.8799969,2.9247092,13.2252907,11.0996641,37.5822621,8.181838,0.5677188,0.5491184,14.4152897,8.6866521,76.3913,17.0816503,36.7659321,62.6856022,28.8617038,45.4910059,19.1431623,2.8292358,13.3576411,11.2237846,37.6303342,8.598748,0.6113327,0.6325529,13.7644421,8.5901838,74.5375939,17.0179571,37.3030791,63.3870906,29.9277369,45.0961116,19.4036354,2.8251131,13.4753633,10.7393893,37.7592184,7.2693325,0.6258344,0.6390602,13.9681553,8.5317696,73.1102555,16.8040665,36.8059121,63.7988373,30.2817793,45.346877,19.5667083,2.829981,13.0844735,10.7760309,38.4342331,8.4118554
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6681533,0.7169369,17.2295012,11.9153674,76.478468,15.15284,41.7812678,62.9312408,30.9256406,45.9888035,19.9298565,2.9312677,11.7337009,10.3575985,35.2403505,8.8095238,0.6702706,0.7298858,16.6158306,11.3409922,75.1177068,14.815357,41.5826529,63.4313898,31.6666711,46.6526396,20.126056,2.8431292,11.8317968,10.2815023,35.0171168,8.4541063,0.5954156,0.6556842,16.5545912,11.2279948,73.393531,15.3277356,41.3622354,64.7833735,32.8094042,46.8563941,20.4616302,2.7612552,12.0702467,9.7020543,35.1245783,7.7830115,0.7474367,0.8076739,15.9646834,10.7976032,72.120748,15.2105066,41.1572401,65.3824382,33.2527675,46.7301452,20.2303174,2.6300806,11.469187,9.2540433,34.8307808,9.0277778,0.7036857,0.7203832,15.1671272,10.2646271,69.9444515,15.7555965,40.2241771,66.6146614,34.6623084,47.4035066,21.0414447,3.0221376,11.556807,9.5726148,34.8233715,9.4936669
8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1011517,1.0099364,15.9392719,11.3944619,36.5190489,16.5867877,33.2789734,67.5316771,39.3226711,46.1771403,23.0767681,3.0554418,10.9374747,11.4809517,36.8312035,18.1371838,1.1255441,1.0684124,16.5432938,11.9733204,37.1752591,16.7771043,33.9951558,67.0784414,38.334339,45.8225217,22.4914198,3.1758083,11.3693282,11.8569443,37.7537575,19.2307035,1.0252897,0.9689625,16.3934798,11.7441302,37.0067681,17.3337597,33.695744,68.1030929,38.4601291,45.2709705,22.8102123,3.0009656,11.06194,11.4267601,36.8454386,19.5652193,1.0060014,0.9514827,16.2769228,11.6839132,36.6762569,17.4479381,33.6546607,68.127142,37.8901877,44.4053643,22.4611853,2.9517322,11.1471366,11.2964873,36.0852788,18.8461583,0.849429,0.7937983,14.4035677,10.4318762,36.5192055,17.1911214,34.018593,68.2626907,37.7841391,44.0525338,22.2590836,2.7621241,10.74755,9.9120855,35.7205786,17.479685
9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5848965,0.6256021,13.2347975,8.4169433,75.2668469,13.7547135,39.4990188,59.6562931,31.3349938,46.6809474,19.2087171,3.6839317,10.5423708,9.3700097,31.8597614,7.9831866,0.576407,0.6590618,13.3577553,8.4790857,73.7210023,14.5309434,39.7838324,60.3869962,31.8136487,46.6315326,19.5432875,3.7399546,10.9796856,9.9811383,33.0004551,8.677686,0.6530769,0.6810817,12.8013108,7.9222733,70.2549998,15.3152368,39.3580973,61.1258556,33.3164098,46.9435913,20.1865054,4.1112521,10.9731735,10.3265808,33.3793501,7.2033898,0.7154917,0.7084963,12.661691,7.8373286,68.4214292,15.521451,38.7912565,61.4224138,33.5771448,46.5448492,20.2404662,3.9676394,11.208156,10.8587179,33.072192,8.0508475,0.8871376,0.8663692,12.1407554,7.5401312,64.8408189,15.7838273,38.1636931,62.2661458,33.9606007,46.6599628,20.8536682,3.9127516,10.547906,10.8549249,32.5926279,7.0247934
